freq,airpol,nace_r2,unit,geo\TIME_PERIOD	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 
Q,GHG,TOTAL_HH,PCH_SM,EE	: 	: 	: 	: 	0.374 s	2.211 s	5.039 s	-6.075 s	-9.96 s	-4.118 s	-5.169 s	3.606 s	14.778 s	15.236 s	16.548 s	-0.753 s	-11.676 s	-0.108 s	-4.103 s	1.394 s	-3.982 s	-16.365 s	-15.446 s	-16.884 s	-3.961 s	-6.357 s	14.849 s	18.471 s	20.206 s	24.921 s	-6.557 s	-5.64 s	-4.972 s	-7.878 s	2.983 s	-9.773 s	-16.499 s	-28.195 s	-36.573 s	-29.199 s	-39.673 s	-31.438 s	-6.521 s	-8.48 s	7.741 s	12.886 s	0.245 s	24.594 s	18.757 s	24.939 s	18.093 s	0.194 s	-13.203 s	-22.718 s	-30.658 s
Q,GHG,TOTAL_HH,PCH_SM,EL	: 	: 	: 	: 	-0.998 s	-5.588 s	-6.048 s	2.06 s	1.222 s	-3.807 s	-2.927 s	-6.838 s	-19.391 s	-7.367 s	-6.93 s	-4.699 s	1.627 s	-2.042 s	-5.697 s	-4.752 s	-3.265 s	-4.987 s	-1.105 s	1.161 s	-4.456 s	-3.413 s	-3.372 s	2.054 s	9.773 s	6.418 s	6.756 s	-0.291 s	-5.498 s	-0.088 s	-0.082 s	1.087 s	2.965 s	-1.808 s	-6.79 s	-13.927 s	-8.31 s	-19.318 s	-12.27 s	-6.573 s	-10.316 s	9.852 s	7.277 s	3.262 s	7.835 s	-1.089 s	1.021 s	-5.424 s	-6.805 s	0.092 s	-4.744 s
Q,GHG,TOTAL_HH,PCH_SM,ES	: 	: 	: 	: 	3.232 s	-0.661 s	0.511 s	-2.684 s	1.666 s	-0.866 s	-4.573 s	-3.991 s	-14.493 s	-8.753 s	-4.371 s	-1.898 s	-1.953 s	1.848 s	3.781 s	-0.391 s	8.926 s	3.536 s	1.268 s	1.532 s	-5.865 s	-4.583 s	-4.711 s	1.782 s	5.089 s	5.512 s	2.655 s	3.132 s	1.125 s	-0.839 s	-1.498 s	-5.262 s	-5.56 s	-3.837 s	-4.403 s	-7.453 s	-8.549 s	-27.876 s	-10.812 s	-8.505 s	-5.497 s	25.566 s	3.239 s	7.212 s	8.63 s	4.717 s	3.784 s	-4.042 s	-2.708 s	-4.792 s	-5.955 s
Q,GHG,TOTAL_HH,PCH_SM,EU27_2020	: 	: 	: 	: 	-0.871 s	-2.625 s	-2.122 s	-4.731 s	-0.842 s	-1.356 s	-1.914 s	-2.817 s	-3.236 s	-2.424 s	-1.501 s	-1.86 s	-6.541 s	-3.097 s	-2.588 s	-2.285 s	2.528 s	0.606 s	2.304 s	0.654 s	-0.949 s	0.105 s	-1.804 s	2.928 s	3.308 s	1.864 s	1.296 s	-1.845 s	-0.904 s	-3.504 s	-0.573 s	-1.62 s	-4.545 s	-1.11 s	-4.168 s	-5.526 s	-7.44 s	-19.227 s	-8.212 s	-4.707 s	-0.993 s	16.736 s	3.924 s	4.156 s	1.772 s	-0.283 s	-0.884 s	-5.763 s	-3.967 s	-5.536 s	-7.066 s
Q,GHG,TOTAL_HH,PCH_SM,FI	: 	: 	: 	: 	-2.964 s	-7.212 s	-11.949 s	-19.461 s	-16.032 s	-10.349 s	-3.98 s	0.771 s	0.433 s	1.434 s	3.391 s	-1.606 s	-8.875 s	-6.898 s	-4.524 s	-5.736 s	-5.974 s	-4.971 s	-7.846 s	-2.867 s	6.726 s	4.237 s	3.094 s	7.296 s	-3.129 s	-1.99 s	-3.924 s	-9.935 s	1.597 s	-2.872 s	5.59 s	3.707 s	-4.884 s	-2.324 s	-5.161 s	-7.183 s	-12.922 s	-14.478 s	-13.404 s	-13.376 s	-2.67 s	-0.53 s	-1.538 s	3.884 s	-6.559 s	0.946 s	0.08 s	-2.388 s	-0.977 s	-8.836 s	-9.33 s
Q,GHG,TOTAL_HH,PCH_SM,FR	: 	: 	: 	: 	-1.71 s	-5.552 s	-4.691 s	-6.557 s	-0.059 s	1.48 s	1.066 s	-0.689 s	-0.337 s	0.235 s	-0.891 s	-1.471 s	-10.159 s	-6.013 s	-4.593 s	-4.674 s	3.615 s	-1.489 s	0.281 s	-0.69 s	-3.931 s	1.258 s	-0.636 s	3.922 s	3.358 s	0.744 s	2.353 s	-0.198 s	-1.551 s	-4.039 s	-2.71 s	-5.099 s	-4.529 s	1.517 s	-1.526 s	-3.348 s	-6.914 s	-23.451 s	-5.878 s	-5.113 s	-0.096 s	22.486 s	1.017 s	3.465 s	0.738 s	-0.203 s	0.558 s	-4.998 s	-2.025 s	-2.215 s	-4.685 s
Q,GHG,TOTAL_HH,PCH_SM,HR	: 	: 	: 	: 	0.484 s	-0.062 s	-5.306 s	0.238 s	-1.076 s	-8.617 s	-6.09 s	-10.009 s	-10.553 s	-4.845 s	-3.9 s	0.666 s	-2.997 s	2.119 s	-5.865 s	-4.346 s	1.334 s	-1.318 s	4.218 s	3.686 s	-1.026 s	2.561 s	-0.147 s	2.36 s	6.543 s	2.675 s	4.648 s	0.636 s	-3.337 s	-8.717 s	-2.16 s	-5.078 s	0.375 s	4.346 s	-0.071 s	-1.3 s	-2.159 s	-8.475 s	-4.352 s	-1.116 s	-0.466 s	7.56 s	3.802 s	-0.328 s	-0.77 s	0.4 s	-3.669 s	-5.668 s	-3.138 s	0.229 s	-0.151 s
Q,GHG,TOTAL_HH,PCH_SM,HU	: 	: 	: 	: 	1.951 s	-3.076 s	-2.354 s	-1.904 s	-5.588 s	-8.155 s	-3.789 s	-10.918 s	-7.549 s	-1.405 s	-3.717 s	-0.977 s	-4.289 s	2.549 s	4.571 s	2.82 s	8.651 s	4.286 s	4.643 s	4.333 s	-1.345 s	-0.171 s	0.295 s	1.679 s	6.061 s	2.585 s	3.075 s	3.153 s	3.286 s	-1.074 s	0.066 s	-1.72 s	-4.185 s	2.297 s	-0.213 s	-3.176 s	-0.042 s	-13.74 s	-5.626 s	-2.625 s	-6.159 s	15.437 s	1.349 s	4.764 s	2.803 s	-1.631 s	-4.311 s	-8.95 s	-8.281 s	-6.299 s	-4.142 s
Q,GHG,TOTAL_HH,PCH_SM,IE	: 	: 	: 	: 	-4.746 s	-5.208 s	-1.639 s	-6.808 s	-3.009 s	4.782 s	1.507 s	5.245 s	4.06 s	-0.607 s	0.421 s	-2.807 s	-3.275 s	-0.099 s	2.026 s	0.846 s	4.844 s	3.2 s	5.659 s	2.95 s	5.521 s	6.983 s	3.727 s	11.319 s	2.376 s	1.888 s	5.732 s	1.324 s	4.292 s	3.914 s	0.506 s	-1.041 s	-8.169 s	0.129 s	-1.066 s	-1.275 s	-3.496 s	-31.724 s	-15.398 s	-16.883 s	-14.347 s	19.282 s	9.006 s	8.992 s	10.505 s	13.591 s	8.186 s	5.112 s	4.7 s	1.614 s	-5.01 s
Q,GHG,TOTAL_HH,PCH_SM,IT	: 	: 	: 	: 	0.117 s	-2.571 s	-2.99 s	-5.02 s	-2.251 s	-2.62 s	-2.788 s	-6.672 s	-7.203 s	-9.793 s	-7.682 s	-3.849 s	-8.33 s	-2.578 s	-4.026 s	-3.615 s	1.77 s	0.267 s	3.391 s	3.286 s	0.752 s	-1.347 s	-3.217 s	0.663 s	-0.522 s	0.577 s	-1.478 s	-0.421 s	1.387 s	-3.192 s	0.757 s	-3.535 s	-3.442 s	2.858 s	-1.493 s	-5.435 s	-9.076 s	-23.514 s	-5.862 s	-3.082 s	2.071 s	24.767 s	3.787 s	8.024 s	5.807 s	1.764 s	0.522 s	-7.008 s	-5.19 s	-5.142 s	-4.734 s
Q,GHG,TOTAL_HH,PCH_SM,LT	: 	: 	: 	: 	-3.68 s	8.594 s	7.919 s	-1.497 s	1.089 s	-3.636 s	1.98 s	-2.076 s	-7.318 s	-3.662 s	-2.324 s	-7.133 s	-1.267 s	0.465 s	-0.451 s	4.448 s	0.719 s	9.806 s	0.253 s	1.487 s	0.694 s	2.297 s	0.749 s	1.233 s	3.206 s	-0.421 s	4.197 s	6.764 s	6.808 s	6.571 s	3.385 s	-2.323 s	-0.433 s	0.183 s	1.638 s	6.601 s	5.934 s	5.627 s	11.23 s	1.636 s	-4.628 s	-4.478 s	-9.169 s	-6.208 s	-4.276 s	-6.849 s	-5.697 s	0.232 s	-2.119 s	3.733 s	-0.148 s
Q,GHG,TOTAL_HH,PCH_SM,LU	: 	: 	: 	: 	-1.486 s	-4.574 s	-16.586 s	-10.135 s	-5.63 s	-1.847 s	6.805 s	-2.298 s	-0.48 s	-6.16 s	-5.065 s	3.941 s	-2.03 s	2.222 s	3.679 s	2.989 s	18.575 s	11.408 s	12.985 s	1.176 s	-7.29 s	1.27 s	-0.057 s	4.862 s	-0.604 s	0.558 s	3.371 s	-2.204 s	0.274 s	-5.566 s	-1.733 s	7.836 s	-5.619 s	9.193 s	15.999 s	1.654 s	1.667 s	-3.821 s	-14.847 s	-12.431 s	-1.973 s	0.564 s	0.105 s	0.928 s	-2.141 s	-7.978 s	-5.058 s	-6.371 s	-6.974 s	-3.408 s	-6.007 s
Q,GHG,TOTAL_HH,PCH_SM,LV	: 	: 	: 	: 	-9.314 s	-3.081 s	-7.598 s	-7.01 s	-3.655 s	-5.372 s	4.527 s	-4.668 s	-3.158 s	-2.261 s	-1.373 s	1.281 s	-7.749 s	12.818 s	-0.803 s	1.912 s	-1.397 s	-2.129 s	7.185 s	2.471 s	3.178 s	0.788 s	-5.973 s	0.672 s	6.132 s	4.456 s	2.466 s	-3.569 s	3.781 s	0.708 s	5.784 s	5.882 s	-8.231 s	2.931 s	8.837 s	-5.737 s	-6.586 s	-11.088 s	-17.819 s	-7.947 s	4.646 s	-0.6 s	4.055 s	2.008 s	-7.893 s	-3.922 s	-4.9 s	3.145 s	5.738 s	4.248 s	3.371 s
Q,GHG,TOTAL_HH,PCH_SM,MT	: 	: 	: 	: 	-0.747 s	-1.69 s	2.608 s	0.845 s	7.42 s	6.352 s	7.046 s	0.81 s	-7.831 s	-9.489 s	-13.298 s	-6.183 s	-2.532 s	1.838 s	2.119 s	1.446 s	1.668 s	-25.117 s	-32.735 s	-31.874 s	-32.344 s	-12.787 s	1.276 s	0.362 s	3.173 s	12.35 s	11.783 s	9.754 s	7.431 s	3.188 s	-0.938 s	3.486 s	9.269 s	12.744 s	2.526 s	1.704 s	2.587 s	-20.466 s	-8.281 s	-16.027 s	-18.277 s	11.392 s	2.374 s	9.843 s	8.325 s	-0.362 s	5.319 s	4.878 s	0.445 s	7.831 s	7.697 s
Q,GHG,TOTAL_HH,PCH_SM,NL	: 	: 	: 	: 	-4.988 s	-6.623 s	-4.388 s	-7.638 s	-2.075 s	-0.643 s	-1.197 s	-1.813 s	-0.368 s	1.439 s	-0.42 s	0.212 s	-7.312 s	-2.897 s	-0.029 s	-0.495 s	6.589 s	3.557 s	3.752 s	-0.241 s	-1.126 s	-0.933 s	-1.981 s	3.675 s	0.96 s	-0.344 s	-2.557 s	-4.138 s	-0.825 s	-3.746 s	-1.989 s	-3.893 s	2.399 s	-9.039 s	0.558 s	-1.63 s	-13.104 	-9.319 	-18.031 	-3.445 	0.351 	5.281 	5.109 	-2.793 	-6.362 	-4.498 	-2.398 	-9.046 	-2.349 	-1.363 	-0.995 
Q,GHG,TOTAL_HH,PCH_SM,PL	: 	: 	: 	: 	0.191 s	0.848 s	-0.224 s	-2.231 s	-0.713 s	-1.741 s	-2.265 s	-2.951 s	-1.703 s	-0.982 s	1.415 s	-2.485 s	-5.858 s	-1.737 s	-2.843 s	-0.662 s	0.045 s	0.305 s	1.792 s	0.748 s	2.507 s	2.374 s	2.008 s	6.985 s	8.243 s	6.007 s	5.258 s	-0.806 s	1.457 s	-2.878 s	1.035 s	0.221 s	-7.285 s	-0.458 s	-4.564 s	-6.396 s	-3.502 s	-9.803 s	-3.914 s	0.747 s	4.343 s	12.262 s	9.919 s	6.903 s	0.098 s	-1.504 s	-6.453 s	-6.389 s	-7.32 s	-9.518 s	-7.614 s
Q,GHG,TOTAL_HH,PCH_SM,PT	: 	: 	: 	: 	2.613 s	-1.107 s	-4.439 s	-4.576 s	0.3 s	-3.339 s	0.631 s	-6.951 s	-4.816 s	-1.154 s	-7.883 s	2.624 s	-6.158 s	-0.504 s	3.924 s	2.01 s	10.353 s	6.773 s	4.401 s	2.772 s	-6.039 s	-6.168 s	-0.366 s	0.687 s	11.507 s	11.542 s	5.285 s	2.572 s	-3.888 s	-6.147 s	-2.485 s	-4.744 s	-5.444 s	-1.043 s	-7.597 s	-3.733 s	-3.408 s	-25.832 s	-9.818 s	-10.387 s	-13.944 s	14.457 s	-4.455 s	1.383 s	9.582 s	4.373 s	4.696 s	-2.616 s	0.239 s	-2.761 s	-4.382 s
Q,GHG,TOTAL_HH,PCH_SM,RO	: 	: 	: 	: 	2.258 s	6.368 s	5.026 s	5.731 s	2.198 s	-3.931 s	0.98 s	-4.79 s	-11.593 s	-11.551 s	-8.51 s	-4.484 s	2.599 s	1.686 s	-1.635 s	-3.013 s	-4.748 s	-1.778 s	4.438 s	-1.05 s	-0.929 s	0.335 s	-2.775 s	-0.887 s	5.639 s	3.812 s	1.674 s	0.934 s	1.955 s	-3.633 s	-0.334 s	4.087 s	-3.85 s	0.148 s	-1.66 s	-5.033 s	-0.949 s	-11.877 s	-2.512 s	-0.258 s	0.268 s	15.961 s	1.043 s	-1.733 s	-3.095 s	-5.348 s	-6.514 s	-5.578 s	-7.489 s	-8.409 s	-3.087 s
Q,GHG,TOTAL_HH,PCH_SM,SE	: 	: 	: 	: 	-7.019 	-4.795 	-4.063 	-14.553 	-8.708 	-7.061 	-5.164 	-0.925 	-1.275 	-0.637 	-0.759 	-6.848 	-8.192 	-1.93 	-0.331 	1.08 	3.844 	0.012 	-0.971 	0.472 	-0.109 	0.431 	2.779 	2.742 	-4.424 	-1.01 	-1.118 	-3.343 	-0.427 	-1.467 	-2.072 	-1.963 	-1.572 	-2.022 	-0.416 	-5.069 	-10.245 	-13.112 	-10.968 	-7.753 	-1.047 	9.049 	4.054 	5.413 	-1.332 	-2.898 	-4.385 	-3.02 	-0.99 	-1.975 	-2.071 
Q,GHG,TOTAL_HH,PCH_SM,SI	: 	: 	: 	: 	-0.453 s	1.385 s	-4.106 s	-7.352 s	-4.949 s	-4.469 s	-3.239 s	-5.841 s	-6.534 s	-9.331 s	3.625 s	3.418 s	-6.732 s	2.452 s	-13.663 s	-17.457 s	-1.764 s	0.667 s	9.626 s	6.731 s	0.85 s	-0.002 s	3.159 s	14.227 s	10.691 s	4.739 s	1.763 s	-6.027 s	0.95 s	-6.709 s	2.016 s	5.249 s	-5.466 s	7.938 s	-3.819 s	-3.332 s	-7.554 s	-15.255 s	-0.042 s	1.315 s	5.35 s	9.585 s	-4.171 s	-0.263 s	5.387 s	9.189 s	0.094 s	-13.664 s	-8.699 s	-6.884 s	-4.694 s
Q,GHG,TOTAL_HH,PCH_SM,SK	: 	: 	: 	: 	-0.141 s	1.738 s	-2.716 s	-6.389 s	-4.908 s	-8.806 s	-5.802 s	-2.183 s	-3.773 s	1.288 s	3.26 s	-3.098 s	-7.838 s	-1.916 s	-4.885 s	-4.029 s	3.038 s	2.967 s	1.418 s	0.093 s	-1.254 s	-0.008 s	2.14 s	3.452 s	4.373 s	2.121 s	1.857 s	2.299 s	2.014 s	-0.913 s	0.401 s	-2.595 s	-1.981 s	-3.937 s	-9.13 s	-6.943 s	-7.443 s	-17.83 s	-4.433 s	1.651 s	6.677 s	23.422 s	7.822 s	7.495 s	-1.452 s	-8.374 s	-11.163 s	-11.314 s	-0.9 s	-0.98 s	0.925 s
Q,GHG,TOTAL_HH,THS_T,AT	21645.103 s	19098.17 s	18758.95 s	22658.415 s	21939.155 s	18897.339 s	17857.653 s	20941.23 s	20897.444 s	17674.675 s	17073.742 s	20310.58 s	20311.485 s	17531.727 s	16885.398 s	19623.071 s	18688.909 s	16933.716 s	16377.863 s	18969.989 s	19417.615 s	16927.314 s	16548.981 s	19356.472 s	19207.237 s	16942.051 s	15978.429 s	19980.205 s	20698.087 s	17633.97 s	17087.327 s	19726.919 s	19854.623 s	16554.904 s	16102.635 s	19357.335 s	19314.493 s	18203.12 s	17754.589 s	19892.507 s	19638.297 s	14314.74 s	16358.231 s	18752.129 s	18831.26 s	17643.542 s	17340.041 s	19897.661 s	19168.31 s	16910.533 s	15689.46 s	17654.842 s	17757 s	16165.605 s	14744.478 s
Q,GHG,TOTAL_HH,THS_T,BE	38389.699 s	32233.106 s	28630.22 s	36870.626 s	35696.525 s	29678.455 s	27638.965 s	33014.926 s	34575.137 s	29447.726 s	26582.981 s	32236.401 s	35219.117 s	30055.48 s	25302.132 s	31719.089 s	31777.19 s	27709.543 s	25504.534 s	31520.269 s	33788.787 s	28587.573 s	26383.704 s	31269.358 s	32812.849 s	28215.872 s	25205.902 s	33236.558 s	33303.601 s	28586.861 s	25152.975 s	32180.327 s	33809.142 s	27664.101 s	25877.342 s	32959.289 s	32835.805 s	29000.358 s	25900.227 s	32047.85 s	31363.611 s	23679.175 s	24130.537 s	29095.684 s	30746.619 s	27566.631 s	22899.83 s	29340.387 s	29312.22 s	25169.073 s	23335.412 s	27640.782 s	28885.379 s	24725.11 s	21354.176 s
Q,GHG,TOTAL_HH,THS_T,BG	14999.866 s	13301.035 s	15322.441 s	17101.451 s	16215.832 s	15374.222 s	15997.242 s	18472.63 s	16589.325 s	13873.16 s	14998.258 s	15543.824 s	13486.116 s	11303.178 s	14096.988 s	16747.404 s	14753.737 s	13137.128 s	14613.777 s	16308.717 s	15023.918 s	13937.776 s	16149.496 s	16763.725 s	14170.788 s	12890.603 s	14913.688 s	17492.833 s	15733.299 s	14518.088 s	15386.153 s	15840.263 s	13996.796 s	12657.033 s	14410.014 s	16010.941 s	14508.423 s	12743.29 s	13912.273 s	14494.266 s	12922.436 s	10784.468 s	12458.756 s	13317.73 s	12630.715 s	12544.221 s	14659.136 s	15984.109 s	15935.429 s	13780.943 s	14270.472 s	14965.683 s	13182.037 s	10257.785 s	11619.884 s
Q,GHG,TOTAL_HH,THS_T,CY	2622.954 s	2349.034 s	2706.107 s	2419.371 s	2571.622 s	2307.106 s	2378.426 s	2316.769 s	2411.453 s	2075.173 s	2374.266 s	2054.979 s	2002.359 s	1925.798 s	2123.057 s	2053.859 s	2098.606 s	1985.174 s	2237.77 s	2069.563 s	2081.272 s	1925.828 s	2220.588 s	2053.031 s	2167.166 s	2054.009 s	2355.273 s	2186.674 s	2393.359 s	2085.781 s	2382.595 s	2183.516 s	2258.297 s	2189.611 s	2383.406 s	2187.696 s	2276.066 s	2080.651 s	2396.496 s	2130.572 s	2274.431 s	1722.175 s	2388.725 s	2170.313 s	2157.057 s	2003.325 s	2403.427 s	2120.336 s	2356.068 s	2004.343 s	2331.549 s	2091.915 s	2196.593 s	2041.876 s	2417.181 s
Q,GHG,TOTAL_HH,THS_T,CZ	35771.928 s	30586.037 s	30251.007 s	35432.589 s	34485.313 s	30451.526 s	29833.942 s	34300.452 s	34838.351 s	30326.699 s	27505.963 s	32270.741 s	33035.325 s	28418.336 s	27065.207 s	31685.698 s	32115.736 s	28336.621 s	26792.92 s	31269.633 s	32070.238 s	28128.135 s	27109.191 s	31406.444 s	32187.232 s	28226.864 s	27623.316 s	33104.977 s	33103.223 s	27968.69 s	26793.424 s	31850.684 s	32932.178 s	26996.015 s	27883.619 s	32289.286 s	31444.423 s	26691.921 s	26237.478 s	29673.788 s	29109.975 s	22503.536 s	23410.556 s	28534.197 s	29344.818 s	25093.765 s	24891.304 s	30395.637 s	29542.981 s	25179.495 s	25185.347 s	28327.605 s	27387.54 s	22903.974 s	22685.55 s
Q,GHG,TOTAL_HH,THS_T,DE	268783.149 s	235087.979 s	221797.07 s	273656.751 s	265275.956 s	225203.039 s	219467.573 s	260033.378 s	269986.088 s	229410.073 s	220011.144 s	262139.7 s	278184.199 s	234687.17 s	226863.215 s	260034.365 s	257204.618 s	220606.431 s	214759.343 s	253202.427 s	260933.911 s	221094.791 s	223779.384 s	253510.44 s	260567.937 s	225390.315 s	214477.026 s	255159.507 s	265273.004 s	222233.414 s	214207.97 s	241222.762 s	254953.267 s	209475.359 s	211362.693 s	240152.9 s	237757.932 s	201961.651 s	191890.069 s	224592.173 s	216433.276 s	160659.074 s	174625.182 s	214703.507 s	214195.309 s	187914.867 s	180523.565 s	218086.165 s	215452.698 s	186340.611 s	181164.097 s	205864.143 s	210225.741 s	173083.699 s	159008.334 s
Q,GHG,TOTAL_HH,THS_T,DK	27045.427 s	24395.192 s	24104.647 s	27181.796 s	27518.32 s	24805.75 s	23716.958 s	25542.447 s	25663.457 s	23046.035 s	21638.27 s	24302.692 s	25328.068 s	23184.353 s	21692.814 s	22910.215 s	22575.427 s	20990.098 s	21155.971 s	22131.156 s	22853.077 s	21704.45 s	20090.278 s	22233.905 s	23881.214 s	21683.021 s	21347.942 s	23053.861 s	23465.057 s	22092.539 s	21419.675 s	23033.776 s	24159.811 s	22595.287 s	21959.249 s	23711.641 s	23384.189 s	22428.481 s	21092.431 s	22062.117 s	21248.848 s	18579.522 s	18802.068 s	19908.27 s	21094.263 s	20980.787 s	20490.365 s	20985.643 s	20213.986 s	20175.467 s	19368.65 s	19672.707 s	19619.136 s	18804.304 s	17839.308 s
Q,GHG,TOTAL_HH,THS_T,EE	6184.221 s	5182.651 s	5338.765 s	6227.272 s	6207.363 s	5297.229 s	5607.799 s	5848.94 s	5589.141 s	5079.095 s	5317.955 s	6059.873 s	6415.088 s	5852.932 s	6197.97 s	6014.22 s	5666.092 s	5846.639 s	5943.653 s	6098.072 s	5440.453 s	4889.825 s	5025.572 s	5068.491 s	5224.977 s	4578.996 s	5771.825 s	6004.681 s	6280.746 s	5720.123 s	5393.351 s	5666.008 s	5968.445 s	5269.516 s	5554.211 s	5112.272 s	4983.735 s	3783.798 s	3522.87 s	3619.548 s	3006.523 s	2594.251 s	3293.145 s	3312.618 s	3239.272 s	2928.547 s	3301.207 s	4127.332 s	3846.856 s	3658.899 s	3898.508 s	4135.343 s	3338.953 s	2827.674 s	2703.304 s
Q,GHG,TOTAL_HH,THS_T,EL	33448.411 s	31044.646 s	33802.95 s	31257.361 s	33114.731 s	29309.72 s	31758.395 s	31901.378 s	33519.233 s	28193.798 s	30828.864 s	29719.87 s	27019.515 s	26116.788 s	28692.33 s	28323.236 s	27459.204 s	25583.397 s	27057.645 s	26977.236 s	26562.629 s	24307.467 s	26758.547 s	27290.564 s	25378.917 s	23477.866 s	25856.147 s	27851.162 s	27859.236 s	24984.773 s	27603.055 s	27770.08 s	26327.463 s	24962.77 s	27580.489 s	28071.811 s	27108.177 s	24511.496 s	25707.839 s	24162.247 s	24855.546 s	19776.406 s	22553.503 s	22574.053 s	22291.504 s	21724.845 s	24194.634 s	23310.521 s	24037.97 s	21488.364 s	24441.584 s	22046.275 s	22402.097 s	21508.088 s	23282.175 s
Q,GHG,TOTAL_HH,THS_T,ES	91506.707 s	87786.467 s	88064.118 s	94878.283 s	94464.101 s	87206.114 s	88514.258 s	92332.067 s	96038.06 s	86450.721 s	84466.82 s	88647.314 s	82119.381 s	78884.044 s	80775.105 s	86964.427 s	80515.871 s	80341.877 s	83829.481 s	86624.212 s	87702.824 s	83182.565 s	84892.695 s	87951.651 s	82558.671 s	79370.33 s	80893.032 s	89518.586 s	86759.863 s	83745.574 s	83041.074 s	92322.495 s	87735.824 s	83043.249 s	81797.5 s	87464.389 s	82857.525 s	79856.568 s	78195.794 s	80945.747 s	75774.034 s	57596.146 s	69740.995 s	74061.003 s	71608.69 s	72321.051 s	71999.592 s	79402.039 s	77788.861 s	75732.747 s	74723.973 s	76192.633 s	75682.315 s	72103.807 s	70274.022 s
Q,GHG,TOTAL_HH,THS_T,EU27_2020	1179159.234 s	1032764.819 s	1002555.117 s	1190887.799 s	1168889.878 s	1005655.662 s	981278.858 s	1134543.229 s	1159043.594 s	992023.465 s	962493.959 s	1102586.95 s	1121537.456 s	967975.846 s	948049.663 s	1082079.054 s	1048180.325 s	937999.856 s	923512.256 s	1057350.308 s	1074675.888 s	943688.184 s	944792.094 s	1064260.511 s	1064481.212 s	944676.962 s	927752.6 s	1095419.127 s	1099695.062 s	962287.282 s	939773.444 s	1075212.816 s	1089751.757 s	928568.989 s	934392.579 s	1057789.963 s	1040221.632 s	918257.356 s	895445.911 s	999335.922 s	962826.514 s	741706.735 s	821907.687 s	952295.92 s	953262.46 s	865842.134 s	854156.901 s	991873.555 s	970149.75 s	863388.708 s	846603.631 s	934709.641 s	931668.21 s	815587.596 s	786783.52 s
Q,GHG,TOTAL_HH,THS_T,FI	22510.725 s	18697.986 s	17132.961 s	21632.252 s	21843.425 s	17349.421 s	15085.797 s	17422.345 s	18341.431 s	15553.951 s	14485.392 s	17556.715 s	18420.857 s	15777.053 s	14976.529 s	17274.733 s	16785.984 s	14688.688 s	14298.929 s	16283.808 s	15783.203 s	13958.56 s	13177.004 s	15816.944 s	16844.784 s	14550.012 s	13584.747 s	16970.946 s	16317.757 s	14260.396 s	13051.64 s	15284.961 s	16578.296 s	13850.899 s	13781.186 s	15851.526 s	15768.66 s	13528.947 s	13069.994 s	14712.927 s	13731.103 s	11570.271 s	11318.064 s	12744.925 s	13364.49 s	11508.921 s	11143.96 s	13239.976 s	12487.9 s	11617.813 s	11152.832 s	12923.8 s	12365.891 s	10591.211 s	10112.327 s
Q,GHG,TOTAL_HH,THS_T,FR	149634.243 s	127861.104 s	118223.916 s	147327.321 s	147075.924 s	120762.409 s	112677.826 s	137667.488 s	146989.764 s	122549.751 s	113878.509 s	136718.615 s	146494.067 s	122837.152 s	112863.87 s	134707.592 s	131611.815 s	115450.677 s	107679.616 s	128410.941 s	136369.911 s	113732.032 s	107982.278 s	127524.503 s	131009.797 s	115163.202 s	107295.924 s	132526.445 s	135409.103 s	116019.791 s	109820.377 s	132264.269 s	133309.071 s	111333.952 s	106844.734 s	125520.456 s	127271.63 s	113023.089 s	105214.242 s	121317.99 s	118471.571 s	86518.551 s	99029.239 s	115114.739 s	118357.384 s	105973.265 s	100036.422 s	119103.693 s	119231.034 s	105758.004 s	100594.197 s	113150.583 s	116816.901 s	103415.472 s	95881.426 s
