Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2030
1.C. CO2 transport and storage,WAM,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.C. CO2 transport and storage,WEM,ESR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1.C. CO2 transport and storage,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.C. CO2 transport and storage,WEM,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Industrial processes,WAM,ESR,3103.96595,2856.19425,2608.42255,2360.65086,2112.87916,1924.7692,1736.65924,1548.54928,1360.43931,1172.32935,1129.93598867638,1130.06723600215,1130.19848332792,1130.32973065368,1130.46097797945,1130.83434569454,1131.20771340964,1131.58108112473,1131.95444883982,1132.32781655491,1132.70118427001,1133.0745519851,1133.4479197002,1133.82128741529,1134.19465513038,1134.56802284548,1134.94139056057,1135.31475827566,1135.68812599076,1136.06149370585,3103.96594687703,2112.87916262031,1172.32935059555
2. Industrial processes,WAM,ETS,15078.58274,15077.42933,15076.27592,15075.12252,15073.96911,14041.84356,13009.71802,11977.59248,10945.46693,9913.34139,9912.22862014698,9913.37997164992,9914.53132315285,9915.68267465579,9916.83402615872,9920.10934988367,9923.38467360862,9926.65999733357,9929.93532105852,9933.21064478347,9936.48596850842,9939.76129223337,9943.03661595832,9946.31193968328,9949.58726340822,9952.86258713318,9956.13791085813,9959.41323458307,9962.68855830803,9965.96388203298,15078.5827419579,15073.9691065222,9913.34139174893
2. Industrial processes,WAM,Total,18182.54869,17933.62358,17684.69848,17435.77337,17186.84827,15966.61276,14746.37726,13526.14175,12305.90625,11085.67074,11060.8313670596,11062.1161341192,11063.4009011787,11064.6856682383,11065.9704352979,11069.6252948439,11073.2801543898,11076.9350139358,11080.5898734818,11084.2447330278,11087.8995925737,11091.5544521197,11095.2093116657,11098.8641712116,11102.5190307576,11106.1738903036,11109.8287498496,11113.4836093955,11117.1384689415,11120.7933284875,18182.5486888349,17186.8482691425,11085.6707423445
2. Industrial processes,WEM,ESR,3103.96595,2941.39052,2778.81509,2616.23966,2453.66423,2296.29328,2138.92234,1981.55139,1824.18045,1666.8095,1621.22809321936,1617.94492851061,1614.66176470077,1611.37860089093,1608.09543708109,1607.64939838938,1607.20335969768,1606.75732100597,1606.31128231427,1605.86524272366,1605.41920373232,1604.97316459116,1604.52712545,1604.08108630885,1603.63504716769,1603.18900802653,1602.74296888537,1602.29692974422,1601.85089060306,1601.4048514619,3103.96594687703,2453.66422548207,1666.80950280046
2. Industrial processes,WEM,ETS,15078.58274,15100.78075,15122.97875,15145.17675,15167.37475,15164.38174,15161.38873,15158.39571,15155.4027,15152.40968,15121.8047980453,15091.1814847354,15060.5581798099,15029.9348748844,14999.311569959,14995.1511991533,14990.9908283476,14986.830457542,14982.6700867363,14978.5097075462,14974.3493339458,14970.1889589479,14966.02858395,14961.8682089522,14957.7078339543,14953.5474589564,14949.3870839586,14945.2267089607,14941.0663339628,14936.9059589649,15078.5827419579,15167.3747548695,15152.4096833479
2. Industrial processes,WEM,Total,18182.54869,18042.17126,17901.79383,17761.41641,17621.03898,17460.67502,17300.31106,17139.9471,16979.58314,16819.21919,16762.5240196028,16728.5780699114,16694.6321295142,16660.6861891169,16626.7402487197,16622.1284767459,16617.5167047722,16612.9049327984,16608.2931608246,16603.6813795568,16599.0696044849,16594.4578278641,16589.8460512433,16585.2342746225,16580.6224980016,16576.0107213808,16571.39894476,16566.7871681392,16562.1753915183,16557.5636148975,18182.5486888349,17621.0389803515,16819.2191861484
3. Agriculture,WAM,ESR,9414.18654,9223.72185,9033.25715,8842.79246,8652.32776,8413.7561,8175.18444,7936.61277,7698.04111,7459.46944,7378.52563312842,7297.58257625685,7216.63951938527,7135.6964625137,7054.75340564212,6976.60353651381,6898.45366738549,6820.30379825717,6742.15392912885,6664.00406000053,6585.85419087221,6507.7043217439,6429.55445261558,6351.40458348727,6273.25471435892,6195.10484523061,6116.95497610229,6038.80510697398,5960.65523784566,5882.50536871734,9414.18654370051,8652.3277643344,7459.46944184874
3. Agriculture,WAM,Total,9414.18654,9223.72185,9033.25715,8842.79246,8652.32776,8413.7561,8175.18444,7936.61277,7698.04111,7459.46944,7378.52563312842,7297.58257625685,7216.63951938527,7135.6964625137,7054.75340564212,6976.60353651381,6898.45366738549,6820.30379825717,6742.15392912885,6664.00406000053,6585.85419087221,6507.7043217439,6429.55445261558,6351.40458348727,6273.25471435892,6195.10484523061,6116.95497610229,6038.80510697398,5960.65523784566,5882.50536871734,9414.18654370051,8652.3277643344,7459.46944184874
3. Agriculture,WEM,ESR,9414.18654,9377.96476,9341.74298,9305.52119,9269.29941,9230.33481,9191.37022,9152.40563,9113.44103,9074.47644,9039.9931229468,9005.5085058936,8971.02388783096,8936.53927077775,8902.05465271511,8870.59050064149,8839.12634856787,8807.66219548481,8776.19804341119,8744.73389133757,8713.26973926396,8681.80558719034,8650.34143511672,8618.8772830431,8587.41313096948,8555.94897889585,8524.48482682224,8493.02067474862,8461.556522675,8430.09237060138,9414.18654370051,9269.29940692034,9074.47643874289
3. Agriculture,WEM,Total,9414.18654,9377.96476,9341.74298,9305.52119,9269.29941,9230.33481,9191.37022,9152.40563,9113.44103,9074.47644,9039.9931229468,9005.5085058936,8971.02388783096,8936.53927077776,8902.05465271511,8870.59050064149,8839.12634856787,8807.66219548481,8776.19804341119,8744.73389133757,8713.26973926396,8681.80558719034,8650.34143511672,8618.8772830431,8587.41313096948,8555.94897889585,8524.48482682224,8493.02067474862,8461.556522675,8430.09237060138,9414.18654370051,9269.29940692034,9074.47643874289
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WAM,Total,-324.36834,-462.52717,-600.686,-738.84483,-877.00365,-955.6353,-1034.26695,-1112.8986,-1191.53024,-1270.16189,-1281.10651408204,-1292.30679036501,-1268.15651912788,-1261.92219999428,-1255.64043664085,-1266.98506149469,-1269.30756254838,-1271.60012421512,-1273.86534339827,-1274.0503607598,-1275.62217933575,-1276.84729760809,-1278.07241588044,-1279.29753415278,-1280.52265242512,-1281.74777069746,-1282.97288896981,-1284.19800724215,-1285.42312551449,-1286.64824378683,-324.368341982376,-877.003653669243,-1270.16188947632
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WEM,Total,-324.36834,-425.10349,-525.83864,-626.57379,-727.30893,-802.9758,-878.64268,-954.30955,-1029.97642,-1105.64329,-1121.0196570787,-1136.64470577265,-1114.60432953783,-1109.59826121509,-1104.53414652962,-1118.24302211215,-1123.35596868585,-1128.43198345626,-1133.47417119978,-1135.91961581398,-1140.0962225144,-1143.84003869326,-1147.58385487212,-1151.32767105099,-1155.07148722984,-1158.81530340871,-1162.55911958757,-1166.30293576643,-1170.0467519453,-1173.79056812416,-324.368341982376,-727.308933573775,-1105.64328832176
4.A. Forest land,WAM,Total,-2000.51862,-2014.41387,-2028.30911,-2042.20435,-2056.09959,-2107.61422,-2159.12885,-2210.64348,-2262.15811,-2313.67273,-2307.95819568521,-2302.25995022534,-2293.91298079986,-2285.5828517749,-2277.26956315045,-2270.30520767758,-2263.35741683244,-2256.42619061501,-2249.5115290253,-2242.61343206331,-2235.70429201618,-2228.79791274033,-2221.89153346448,-2214.98515418862,-2208.07877491277,-2201.17239563692,-2194.26601636107,-2187.35963708522,-2180.45325780937,-2173.54687853352,-2000.51862485393,-2056.09959297858,-2313.67273452385
4.A. Forest land,WEM,Total,-2000.51862,-2014.41387,-2028.30911,-2042.20435,-2056.09959,-2107.61422,-2159.12885,-2210.64348,-2262.15811,-2313.67273,-2307.95819507989,-2302.25995027538,-2293.91298141638,-2285.58285194824,-2277.26956313367,-2270.30520726016,-2263.35741677123,-2256.42619040417,-2249.51152942168,-2242.61343256107,-2235.70429295255,-2228.797914031,-2221.89153510945,-2214.98515618791,-2208.07877726636,-2201.17239834481,-2194.26601942327,-2187.35964050172,-2180.45326158017,-2173.54688265862,-2000.51862485393,-2056.09959297858,-2313.67273452385
4.B. Cropland,WAM,Total,688.67684,663.40827,638.13969,612.87111,587.60254,577.37417,567.14581,556.91745,546.68909,536.46073,519.674954170217,502.909257218399,494.863117200904,489.720127701842,484.603764445327,475.144614365651,464.260753014121,453.386689798195,442.520510912434,431.660515127429,420.796397275251,409.93330993987,399.070222604485,388.207135269103,377.344047933718,366.480960598337,355.617873262951,344.75478592757,333.891698592189,323.028611256804,688.676842821909,587.602537144539,536.460725759843
4.B. Cropland,WEM,Total,688.67684,697.43902,706.20119,714.96337,723.72555,713.20839,702.69123,692.17407,681.65691,671.13976,650.140203962907,629.16545126005,619.099314632091,612.665169185484,606.264334471826,594.430449291693,580.814176654345,567.21016207659,553.616011113063,540.029595611049,526.438023134694,512.84773990192,499.257456669153,485.667173436379,472.076890203612,458.486606970838,444.896323738071,431.306040505298,417.715757272524,404.125474039757,688.676842821909,723.725545126857,671.13975515881
4.C. Grassland,WAM,Total,319.59674,268.03626,216.47577,164.91529,113.3548,103.72966,94.10452,84.47937,74.85423,65.22909,64.1476568762971,63.071655098563,59.8524211956044,59.1656943858443,58.4894556596085,58.9043156619754,58.0773342708888,57.2641266436202,56.4646958068191,57.7342134054322,57.6244320471024,57.8594754280084,58.0945188089144,58.3295621898204,58.5646055707263,58.7996489516323,59.0346923325383,59.2697357134443,59.5047790943502,59.7398224752562,319.596744701063,113.354804307583,65.2290883932896
4.C. Grassland,WEM,Total,319.59674,270.34727,221.0978,171.84833,122.59886,114.3319,106.06494,97.79798,89.53102,81.26406,79.9162536915155,78.5757521884217,74.5651752439273,73.7096391809822,72.8671693495632,73.384009074705,72.3537414413675,71.3406334015896,70.3446887224901,71.9262755694683,71.789508065728,72.0823291496673,72.3751502336068,72.6679713175461,72.9607924014855,73.2536134854248,73.5464345693642,73.8392556533035,74.1320767372428,74.4248978211822,319.596744701063,122.598863193378,81.2640603793143
4.D. Wetlands,WAM,Total,1.38157,-3.92301,-9.22758,-14.53216,-19.83673,-20.15932,-20.48192,-20.80451,-21.1271,-21.44969,-21.6484120009724,-21.8510126570444,-12.4261992207278,-14.4748769205892,-16.5293168637243,-23.4037527327456,-24.5491446045024,-25.6993569254465,-26.8543896955761,-28.0142429148934,-29.170882501419,-30.3283254961423,-31.4857684908659,-32.6432114855893,-33.8006544803129,-34.9580974750363,-36.1155404697599,-37.2729834644832,-38.4304264592066,-39.5878694539302,1.38156798949903,-19.836730264231,-21.4496940602835
4.D. Wetlands,WEM,Total,1.38157,-3.92301,-9.22758,-14.53216,-19.83673,-20.15932,-20.48192,-20.80451,-21.1271,-21.44969,-21.6484120006871,-21.8510126562668,-12.4261992231832,-14.4748769194209,-16.5293168642074,-23.403752735325,-24.5491446053097,-25.6993569245215,-26.8543896979474,-28.0142429156135,-29.1708825037863,-30.3283254993323,-31.4857684948784,-32.6432114904242,-33.8006544859702,-34.9580974815162,-36.1155404770623,-37.2729834726083,-38.4304264681544,-39.5878694637004,1.38156798949903,-19.836730264231,-21.4496940602835
4.E. Settlements,WAM,Total,531.21964,492.42309,453.62655,414.83001,376.03347,369.09255,362.15162,355.2107,348.26978,341.32886,342.442628015904,343.589129049084,361.234050989924,367.017692614414,372.834264638576,370.444894380849,374.031719116178,377.646294313068,381.287933846938,384.956026640286,388.606483927315,392.261350090923,395.916216254533,399.571082418141,403.225948581751,406.880814745359,410.535680908968,414.190547072577,417.845413236185,421.500279399795,531.219636669221,376.033466255104,341.328863088333
4.E. Settlements,WEM,Total,531.21964,493.50501,455.79038,418.07575,380.36112,375.31559,370.27006,365.22453,360.17899,355.13346,356.293224804205,357.486097790244,375.844694609087,381.862264119048,387.914095987645,385.42808411546,389.159983296341,392.920755271763,396.709686308462,400.526140511744,404.324245937304,408.126938557295,411.929631177286,415.732323797276,419.535016417268,423.337709037258,427.140401657249,430.94309427724,434.74578689723,438.548479517221,531.219636669221,380.361119482458,355.133462857903
4.F. Other Land,WAM,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.F. Other Land,WEM,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.G. Harvested wood products,WAM,Total,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.941861866347,121.941861866347,121.941861866347
4.G. Harvested wood products,WEM,Total,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.94186,121.941861866347,121.941861866347,121.941861866347
4.H. Other,WAM,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.H. Other,WEM,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Waste,WAM,ESR,1019.06577,969.36559,919.66541,869.96523,820.26506,780.7349,741.20475,701.6746,662.14445,622.6143,614.857857288459,607.100151734291,599.342446180122,591.584740625953,583.827035071785,578.90712847124,573.987221870695,569.067315270149,564.147408669604,559.227502069059,554.307595468514,549.387688867969,544.467782267423,539.547875666878,534.627969066333,529.708062465787,524.788155865242,519.868249264697,514.948342664152,510.028436063606,1019.06576570097,820.265055431146,622.614298816832
5. Waste,WAM,ETS,231.75935,239.1314,246.50345,253.8755,261.24754,261.24754,261.24754,261.24754,261.24754,261.24754,257.993020765182,254.737904372991,251.482787980801,248.22767158861,244.97255519642,242.908173078324,240.843790960228,238.779408842131,236.715026724035,234.650644605939,232.586262487843,230.521880369747,228.457498251651,226.393116133554,224.328734015458,222.264351897362,220.199969779266,218.13558766117,216.071205543073,214.006823424977,231.75935455,261.24754185,261.24754185
5. Waste,WAM,Total,1250.82512,1208.49699,1166.16886,1123.84073,1081.5126,1041.98245,1002.45229,962.92214,923.39199,883.86184,872.850878053641,861.838056107282,850.825234160923,839.812412214564,828.799590268205,821.815301549563,814.831012830922,807.846724112281,800.86243539364,793.878146674998,786.893857956357,779.909569237715,772.925280519074,765.940991800432,758.956703081791,751.97241436315,744.988125644508,738.003836925867,731.019548207225,724.035259488584,1250.82512025097,1081.51259728115,883.861840666832
5. Waste,WEM,ESR,1019.06577,969.36559,919.66541,869.96523,820.26506,780.7349,741.20475,701.6746,662.14445,622.6143,614.857857289712,607.100151736796,599.34244618388,591.584740630964,583.827035078048,578.907128439319,573.987221872238,569.067315233509,564.147408666428,559.227502027699,554.307595436735,549.38768883383,544.467782230925,539.54787562802,534.627969025114,529.708062422209,524.788155819305,519.868249216399,514.948342613494,510.028436010589,1019.06576570097,820.265055431146,622.614298816832
5. Waste,WEM,ETS,231.75935,239.1314,246.50345,253.8755,261.24754,261.24754,261.24754,261.24754,261.24754,261.24754,257.993020765707,254.737904374043,251.482787982378,248.227671590713,244.972555199048,242.90817306493,240.843790960875,238.779408826757,236.715026722702,234.650644588585,232.586262474509,230.521880355422,228.457498236336,226.39311611725,224.328733998163,222.264351879077,220.199969759991,218.135587640904,216.071205521817,214.006823402732,231.75935455,261.24754185,261.24754185
5. Waste,WEM,Total,1250.82512,1208.49699,1166.16886,1123.84073,1081.5126,1041.98245,1002.45229,962.92214,923.39199,883.86184,872.850878055419,746.800035900432,737.257203850648,727.714371800864,718.17153975108,712.11951284264,706.067486022334,700.015459113893,693.963432293586,687.911405385146,681.859378535462,675.807351671087,669.755324806715,663.703297942341,657.651271077967,651.599244213593,645.547217349221,639.495190484847,633.443163620473,627.3911367561,1250.82512025097,1081.51259728115,883.861840666832
IB.Aviation,WAM,Total,4575.92094,4669.05168,4762.18241,4855.31315,4948.44388,4951.27062,4954.09736,4956.9241,4959.75084,4962.57758,5001.21263107425,5039.8467321485,5078.48083322275,5117.11493429699,5155.74903537124,5178.59542675099,5201.44181813074,5224.28820951048,5247.13460089023,5269.98099226997,5292.82738364971,5315.67377502946,5338.52016640921,5361.36655778896,5384.2129491687,5407.05934054844,5429.90573192819,5452.75212330794,5475.59851468769,5498.44490606743,4575.92094190566,4948.44387997774,4962.5775794241
IB.Aviation,WEM,Total,4575.92094,4669.05168,4762.18241,4855.31315,4948.44388,4951.27062,4954.09736,4956.9241,4959.75084,4962.57758,5017.9730828935,5073.367635787,5128.76218868049,5184.15674064534,5239.55129353884,5281.05419897026,5322.55710533035,5364.06001076177,5405.5629161932,5447.06582162462,5488.56872705605,5530.07163248747,5571.5745379189,5613.07744335033,5654.58034878175,5696.08325421317,5737.58615964461,5779.08906507603,5820.59197050745,5862.09487593888,4575.92094190566,4948.44387997774,4962.5775794241
IB.Navigation,WAM,Total,25739.79463,27939.36178,30138.92893,32338.49608,34538.06323,34461.59265,34385.12207,34308.65149,34232.1809,34155.71032,34254.1890996015,34352.666999203,34451.1448988045,34549.622798406,34648.1006980075,34803.9026625867,34959.7046271659,35115.5065917451,35271.3085563243,35427.1105209034,35582.9124854826,35738.7144500618,35894.516414641,36050.3183792202,36206.1203437994,36361.9223083785,36517.7242729577,36673.5262375369,36829.3282021161,36985.1301666953,25739.7946267014,34538.0632302959,34155.7103227475
IB.Navigation,WEM,Total,25739.79463,27939.36178,30138.92893,32338.49608,34538.06323,34461.59265,34385.12207,34308.65149,34232.1809,34155.71032,34254.1891069148,34352.6670032972,34451.1448996795,34549.6227960619,34648.1007029767,34803.9026638072,34959.7046246378,35115.5065960007,35271.3085568313,35427.1105281943,35582.9124925356,35738.7144586324,35894.5164247292,36050.3183908259,36206.1203569227,36361.9223230194,36517.7242891163,36673.526255213,36829.3282213097,36985.1301874065,25739.7946267014,34538.0632302959,34155.7103227475
Indirect CO2 (if available) (10),WAM,ESR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Indirect CO2 (if available) (10),WAM,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Indirect CO2 (if available) (10),WEM,ESR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Indirect CO2 (if available) (10),WEM,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Total excluding LULUCF,WAM,ESR,69540.65632,67840.1026,66139.54887,64438.99515,62738.44142,59552.77946,56367.1175,53181.45554,49995.79358,46810.13162,45663.2425922207,44558.8763098526,43454.5100274845,42350.1437451164,41245.7774627483,40284.8072656811,39323.837068614,38362.8668715469,37401.8966744797,36440.9264774126,35479.9562803455,34518.9860832785,33558.0158862114,32597.0456891443,31636.0754920769,30675.1052950099,29714.1350979428,28753.1649008757,27792.1947038087,26831.2245067415,69540.6563195475,62738.4414233423,46810.1316247733
Total excluding LULUCF,WAM,ETS,41402.73037,41837.23891,42271.74745,42706.25599,43140.76453,41810.13703,40479.50953,39148.88202,37818.25452,36487.62702,36475.5024181613,36465.6391591284,36455.7759000955,36445.9126410626,36436.0493820297,36405.9519764325,36375.8545708352,36345.7571652379,36315.6597596406,36285.5623540433,36255.464948446,36225.3675428487,36195.2701372515,36165.1727316542,36135.0753260569,36104.9779204596,36074.8805148623,36044.783109265,36014.6857036678,35984.5882980705,41402.7303695511,43140.7645340683,36487.6270155201
Total excluding LULUCF,WAM,Total,110951.73135,109684.63396,108417.53657,107150.43918,105883.34179,101367.05232,96850.76286,92334.4734,87818.18393,83301.89447,82168.8023578525,81055.0680801759,79944.7151952639,78834.3623103518,77724.0094254398,76736.034123101,75748.0588207623,74760.0835184235,73772.1082160847,72784.132913746,71796.1576114073,70808.1823090686,69820.2070067298,68832.2317043911,67844.2564020521,66856.2810997134,65868.3057973746,64880.3304950359,63892.3551926973,62904.3798903585,110951.731346546,105883.341787411,83301.8944702934
Total excluding LULUCF,WEM,ESR,69540.65632,69173.85581,68807.0553,68440.25478,68073.45427,67257.32183,66441.18939,65625.05695,64808.92452,63992.79208,63734.509580037,63565.0685698528,63348.8622255254,63132.6558737134,62916.4495226856,62675.1062335992,62433.7629255658,62192.4196270622,61951.0763279978,61709.7330320281,61468.3897339953,61227.0464364782,60985.7031389611,60744.3598414441,60503.016543927,60261.6732464099,60020.3299488928,59778.9866513758,59537.6433538587,59296.3000563416,69540.6563195475,68073.4542718372,63992.792076547
Total excluding LULUCF,WEM,ETS,41402.73037,42054.99132,42707.25227,43359.51322,44011.77417,43743.21847,43474.66277,43206.10707,42937.55137,42668.99567,42795.5163473247,42922.3311905347,43048.8333527097,43175.3355165098,43301.8376802787,43236.8432827303,43171.8488799347,43106.8544823301,43041.8600847877,42976.865685647,42911.8712875719,42846.8768892303,42781.8824908888,42716.8880925473,42651.8936942057,42586.8992958641,42521.9048975226,42456.9104991811,42391.9161008395,42326.921702498,41402.7303695511,44011.7741743766,42668.9956748131
Total excluding LULUCF,WEM,Total,110951.73135,111236.13958,111520.54781,111804.95604,112089.36428,111004.67614,109919.988,108835.29986,107750.61172,106665.92358,106554.359481967,106397.052262188,106309.487725141,106221.923182235,106134.358640137,105829.652811628,105524.946958967,105220.241121042,104915.535282545,104610.829445605,104306.123607628,104001.417769909,103696.711932191,103392.006094473,103087.300256755,102782.594419036,102477.888581318,102173.1827436,101868.476905882,101563.771068164,110951.731346546,112089.364276214,106665.92358136
Total including LULUCF,WAM,ESR,69540.65632,67840.1026,66139.54887,64438.99515,62738.44142,59552.77946,56367.1175,53181.45554,49995.79358,46810.13162,45663.2425922207,44558.8763098526,43454.5100274845,42350.1437451164,41245.7774627483,40284.8072656811,39323.837068614,38362.8668715469,37401.8966744797,36440.9264774126,35479.9562803455,34518.9860832785,33558.0158862114,32597.0456891443,31636.0754920769,30675.1052950099,29714.1350979428,28753.1649008757,27792.1947038087,26831.2245067415,69540.6563195475,62738.4414233423,46810.1316247733
Total including LULUCF,WAM,ETS,41402.73037,41837.23891,42271.74745,42706.25599,43140.76453,41810.13703,40479.50953,39148.88202,37818.25452,36487.62702,36475.5024181613,36465.6391591284,36455.7759000955,36445.9126410626,36436.0493820297,36405.9519764325,36375.8545708352,36345.7571652379,36315.6597596406,36285.5623540433,36255.464948446,36225.3675428487,36195.2701372515,36165.1727316542,36135.0753260569,36104.9779204596,36074.8805148623,36044.783109265,36014.6857036678,35984.5882980705,41402.7303695511,43140.7645340683,36487.6270155201
Total including LULUCF,WAM,Total,110627.363,109222.10679,107816.85057,106411.59435,105006.33813,100411.41702,95816.49591,91221.5748,86626.65369,82031.73258,80884.3144510059,79762.7612898109,78676.558676136,77572.4401103576,76468.368988799,75469.0490616063,74478.7512582139,73488.4833942084,72498.2428726865,71510.0825529861,70520.5354320715,69531.3350114605,68542.1345908494,67552.9341702383,66563.733749627,65574.533329016,64585.3329084048,63596.1324877938,62606.9320671828,61617.7316465716,110627.363004564,105006.338133741,82031.7325808171
Total including LULUCF,WEM,ESR,69540.65632,69173.85581,68807.0553,68440.25478,68073.45427,67257.32183,66441.18939,65625.05695,64808.92452,63992.79208,63734.509580037,63565.0685698528,63348.8622255254,63132.6558737134,62916.4495226856,62675.1062335992,62433.7629255658,62192.4196270622,61951.0763279978,61709.7330320281,61468.3897339953,61227.0464364782,60985.7031389611,60744.3598414441,60503.016543927,60261.6732464099,60020.3299488928,59778.9866513758,59537.6433538587,59296.3000563416,69540.6563195475,68073.4542718372,63992.792076547
Total including LULUCF,WEM,ETS,41402.73037,42054.99132,42707.25227,43359.51322,44011.77417,43743.21847,43474.66277,43206.10707,42937.55137,42668.99567,42795.5163473247,42922.3311905347,43048.8333527097,43175.3355165098,43301.8376802787,43236.8432827303,43171.8488799347,43106.8544823301,43041.8600847877,42976.865685647,42911.8712875719,42846.8768892303,42781.8824908888,42716.8880925473,42651.8936942057,42586.8992958641,42521.9048975226,42456.9104991811,42391.9161008395,42326.921702498,41402.7303695511,44011.7741743766,42668.9956748131
Total including LULUCF,WEM,Total,110627.363,110811.03609,110994.70917,111178.38226,111362.05534,110201.70033,109041.34532,107880.99031,106720.6353,105560.28029,105433.339824888,105260.407556415,105194.883395603,105112.32492102,105029.824493607,104711.409789516,104401.590990282,104091.809137585,103782.061111345,103474.909829791,103166.027385113,102857.577731216,102549.128077319,102240.678423422,101932.228769525,101623.779115628,101315.329461731,101006.879807834,100698.430153937,100389.980500039,110627.363004564,111362.05534264,105560.280293038
